CPU 0 is empty
cpus=2
            bash-16796 [001] 14428.023632: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [001] 14428.023687: funcgraph_entry:        1.576 us   |    load_new_mm_cr3();
            bash-16796 [001] 14428.023689: funcgraph_exit:       + 57.755 us  |  }
            main-27967 [001] 14428.023691: funcgraph_entry:                   |  finish_task_switch() {
            main-27967 [001] 14428.023726: funcgraph_entry:                   |    smp_irq_work_interrupt() {
            main-27967 [001] 14428.023727: funcgraph_entry:                   |      irq_enter() {
            main-27967 [001] 14428.023727: funcgraph_entry:        0.288 us   |        rcu_irq_enter();
            main-27967 [001] 14428.023728: funcgraph_exit:         0.755 us   |      }
            main-27967 [001] 14428.023747: funcgraph_entry:                   |      __wake_up() {
            main-27967 [001] 14428.023747: funcgraph_entry:                   |        __wake_up_common_lock() {
            main-27967 [001] 14428.023747: funcgraph_entry:        0.198 us   |          _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023748: funcgraph_entry:        0.187 us   |          __wake_up_common();
            main-27967 [001] 14428.023748: funcgraph_entry:        0.196 us   |          _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023749: funcgraph_exit:         1.459 us   |        }
            main-27967 [001] 14428.023749: funcgraph_exit:         2.273 us   |      }
            main-27967 [001] 14428.023749: funcgraph_entry:                   |      __wake_up() {
            main-27967 [001] 14428.023749: funcgraph_entry:                   |        __wake_up_common_lock() {
            main-27967 [001] 14428.023749: funcgraph_entry:        0.176 us   |          _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023750: funcgraph_entry:                   |          __wake_up_common() {
            main-27967 [001] 14428.023751: funcgraph_entry:                   |            autoremove_wake_function() {
            main-27967 [001] 14428.023751: funcgraph_entry:                   |              default_wake_function() {
            main-27967 [001] 14428.023751: funcgraph_entry:                   |                try_to_wake_up() {
            main-27967 [001] 14428.023751: funcgraph_entry:        0.553 us   |                  _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023753: funcgraph_entry:                   |                  select_task_rq_fair() {
            main-27967 [001] 14428.023753: funcgraph_entry:                   |                    select_idle_sibling() {
