CPU 0 is empty
cpus=2
  kworker/u256:0-26003 [001] 15406.201814: funcgraph_entry:                   |  switch_mm_irqs_off() {
  kworker/u256:0-26003 [001] 15406.201851: funcgraph_entry:        1.152 us   |    load_new_mm_cr3();
  kworker/u256:0-26003 [001] 15406.201853: funcgraph_exit:       + 39.434 us  |  }
            bash-16796 [001] 15406.201854: funcgraph_entry:                   |                  finish_task_switch() {
            bash-16796 [001] 15406.201880: funcgraph_entry:                   |                    smp_irq_work_interrupt() {
            bash-16796 [001] 15406.201880: funcgraph_entry:                   |                      irq_enter() {
            bash-16796 [001] 15406.201880: funcgraph_entry:        0.203 us   |                        rcu_irq_enter();
            bash-16796 [001] 15406.201881: funcgraph_exit:         0.548 us   |                      }
            bash-16796 [001] 15406.201894: funcgraph_entry:                   |                      __wake_up() {
            bash-16796 [001] 15406.201895: funcgraph_entry:                   |                        __wake_up_common_lock() {
            bash-16796 [001] 15406.201895: funcgraph_entry:        0.157 us   |                          _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201895: funcgraph_entry:        0.150 us   |                          __wake_up_common();
            bash-16796 [001] 15406.201896: funcgraph_entry:        0.146 us   |                          _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201896: funcgraph_exit:         1.078 us   |                        }
            bash-16796 [001] 15406.201896: funcgraph_exit:         1.663 us   |                      }
            bash-16796 [001] 15406.201896: funcgraph_entry:                   |                      __wake_up() {
            bash-16796 [001] 15406.201896: funcgraph_entry:                   |                        __wake_up_common_lock() {
            bash-16796 [001] 15406.201896: funcgraph_entry:        0.137 us   |                          _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201897: funcgraph_entry:                   |                          __wake_up_common() {
            bash-16796 [001] 15406.201897: funcgraph_entry:                   |                            autoremove_wake_function() {
            bash-16796 [001] 15406.201897: funcgraph_entry:                   |                              default_wake_function() {
            bash-16796 [001] 15406.201897: funcgraph_entry:                   |                                try_to_wake_up() {
            bash-16796 [001] 15406.201898: funcgraph_entry:        0.298 us   |                                  _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201899: funcgraph_entry:                   |                                  select_task_rq_fair() {
            bash-16796 [001] 15406.201899: funcgraph_entry:                   |                                    select_idle_sibling() {
            bash-16796 [001] 15406.201899: funcgraph_entry:        0.269 us   |                                      idle_cpu();
            bash-16796 [001] 15406.201899: funcgraph_exit:         0.546 us   |                                    }
            bash-16796 [001] 15406.201900: funcgraph_exit:         0.960 us   |                                  }
            bash-16796 [001] 15406.201900: funcgraph_entry:                   |                                  native_smp_send_reschedule() {
            bash-16796 [001] 15406.201900: funcgraph_entry:      + 28.021 us  |                                    x2apic_send_IPI();
            bash-16796 [001] 15406.201929: funcgraph_exit:       + 28.643 us  |                                  }
            bash-16796 [001] 15406.201929: funcgraph_entry:        0.242 us   |                                  _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201929: funcgraph_exit:       + 31.909 us  |                                }
            bash-16796 [001] 15406.201929: funcgraph_exit:       + 32.181 us  |                              }
            bash-16796 [001] 15406.201930: funcgraph_exit:       + 32.488 us  |                            }
            bash-16796 [001] 15406.201930: funcgraph_exit:       + 33.225 us  |                          }
            bash-16796 [001] 15406.201930: funcgraph_entry:        0.162 us   |                          _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201930: funcgraph_exit:       + 34.050 us  |                        }
            bash-16796 [001] 15406.201930: funcgraph_exit:       + 34.314 us  |                      }
            bash-16796 [001] 15406.201931: funcgraph_entry:                   |                      irq_exit() {
            bash-16796 [001] 15406.201931: funcgraph_entry:        0.175 us   |                        idle_cpu();
            bash-16796 [001] 15406.201931: funcgraph_entry:        0.142 us   |                        rcu_irq_exit();
            bash-16796 [001] 15406.201931: funcgraph_exit:         0.783 us   |                      }
            bash-16796 [001] 15406.201932: funcgraph_exit:       + 52.158 us  |                    }
            bash-16796 [001] 15406.201932: funcgraph_exit:       + 78.105 us  |                  }
            bash-16796 [001] 15406.201932: funcgraph_exit:       $ 87748665 us |                }
            bash-16796 [001] 15406.201932: funcgraph_exit:       $ 87748665 us |              }
            bash-16796 [001] 15406.201933: funcgraph_exit:       $ 87748666 us |            }
            bash-16796 [001] 15406.201933: funcgraph_exit:       $ 87748666 us |          }
            bash-16796 [001] 15406.201933: funcgraph_entry:                   |          __fdget() {
            bash-16796 [001] 15406.201933: funcgraph_entry:        0.967 us   |            __fget_light();
            bash-16796 [001] 15406.201934: funcgraph_exit:         1.235 us   |          }
            bash-16796 [001] 15406.201935: funcgraph_entry:                   |          tty_poll() {
