CPU 1 is empty
cpus=2
            node-3432  [000] 23007.563452: funcgraph_entry:                   |  switch_mm_irqs_off() {
            node-3432  [000] 23007.563575: funcgraph_entry:        4.395 us   |    load_new_mm_cr3();
            node-3432  [000] 23007.563582: funcgraph_exit:       ! 131.018 us |  }
            bash-16796 [000] 23007.563586: funcgraph_entry:                   |                  finish_task_switch() {
            bash-16796 [000] 23007.563704: funcgraph_entry:                   |                    smp_irq_work_interrupt() {
            bash-16796 [000] 23007.563705: funcgraph_entry:                   |                      irq_enter() {
            bash-16796 [000] 23007.563706: funcgraph_entry:        0.712 us   |                        rcu_irq_enter();
            bash-16796 [000] 23007.563707: funcgraph_exit:         2.085 us   |                      }
            bash-16796 [000] 23007.563764: funcgraph_entry:                   |                      __wake_up() {
            bash-16796 [000] 23007.563766: funcgraph_entry:                   |                        __wake_up_common_lock() {
            bash-16796 [000] 23007.563767: funcgraph_entry:        0.646 us   |                          _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.563768: funcgraph_entry:        0.627 us   |                          __wake_up_common();
            bash-16796 [000] 23007.563769: funcgraph_entry:        0.581 us   |                          _raw_spin_unlock_irqrestore();
            bash-16796 [000] 23007.563770: funcgraph_exit:         4.811 us   |                        }
            bash-16796 [000] 23007.563771: funcgraph_exit:         7.236 us   |                      }
            bash-16796 [000] 23007.563772: funcgraph_entry:                   |                      __wake_up() {
            bash-16796 [000] 23007.563772: funcgraph_entry:                   |                        __wake_up_common_lock() {
            bash-16796 [000] 23007.563773: funcgraph_entry:        0.647 us   |                          _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.563774: funcgraph_entry:                   |                          __wake_up_common() {
            bash-16796 [000] 23007.563776: funcgraph_entry:                   |                            autoremove_wake_function() {
            bash-16796 [000] 23007.563776: funcgraph_entry:                   |                              default_wake_function() {
            bash-16796 [000] 23007.563777: funcgraph_entry:                   |                                try_to_wake_up() {
            bash-16796 [000] 23007.563777: funcgraph_entry:        1.333 us   |                                  _raw_spin_lock_irqsave();
            bash-16796 [000] 23007.563781: funcgraph_entry:                   |                                  select_task_rq_fair() {
            bash-16796 [000] 23007.563783: funcgraph_entry:                   |                                    select_idle_sibling() {
            bash-16796 [000] 23007.563783: funcgraph_entry:        0.636 us   |                                      idle_cpu();
            bash-16796 [000] 23007.563784: funcgraph_exit:         1.920 us   |                                    }
            bash-16796 [000] 23007.563785: funcgraph_exit:         3.759 us   |                                  }
            bash-16796 [000] 23007.563786: funcgraph_entry:        0.551 us   |                                  _raw_spin_lock();
            bash-16796 [000] 23007.563787: funcgraph_entry:        0.682 us   |                                  update_rq_clock();
            bash-16796 [000] 23007.563789: funcgraph_entry:                   |                                  ttwu_do_activate() {
            bash-16796 [000] 23007.563789: funcgraph_entry:                   |                                    activate_task() {
            bash-16796 [000] 23007.563790: funcgraph_entry:                   |                                      enqueue_task_fair() {
            bash-16796 [000] 23007.563791: funcgraph_entry:                   |                                        enqueue_entity() {
            bash-16796 [000] 23007.563792: funcgraph_entry:        0.636 us   |                                          update_curr();
            bash-16796 [000] 23007.563793: funcgraph_entry:                   |                                          __update_load_avg_se.isra.38() {
            bash-16796 [000] 23007.563794: funcgraph_entry:        0.617 us   |                                            decay_load();
            bash-16796 [000] 23007.563795: funcgraph_entry:        0.556 us   |                                            decay_load();
            bash-16796 [000] 23007.563797: funcgraph_entry:        0.627 us   |                                            decay_load();
            bash-16796 [000] 23007.563798: funcgraph_entry:        0.662 us   |                                            __accumulate_pelt_segments();
            bash-16796 [000] 23007.563799: funcgraph_exit:         5.899 us   |                                          }
            bash-16796 [000] 23007.563800: funcgraph_entry:        0.571 us   |                                          decay_load();
            bash-16796 [000] 23007.563801: funcgraph_entry:        0.572 us   |                                          decay_load();
            bash-16796 [000] 23007.563802: funcgraph_entry:        0.566 us   |                                          decay_load();
            bash-16796 [000] 23007.563803: funcgraph_entry:        0.567 us   |                                          __accumulate_pelt_segments();
            bash-16796 [000] 23007.563805: funcgraph_entry:        0.541 us   |                                          update_cfs_group();
            bash-16796 [000] 23007.563806: funcgraph_entry:        0.641 us   |                                          account_entity_enqueue();
